root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940629146711,['Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'sensory neuron'; 'gustatory receptor neuron/GRN?'],GNG.2146,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,45,120
720575940625750105,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2047,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,72,263
720575940610483162,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1982,,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,76,345
720575940610481370,['Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2711,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,36,92
720575940602353632,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2718,ACH,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,39,86
720575940610773090,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2397,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,77,83
720575940617433830,['labellar bitter gustatory receptor neuron (GRN)'],GNG.2781,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['highly_reciprocal_neuron'; 'reciprocal'],right,38,44
720575940628962407,['labellar bitter gustatory receptor neuron (GRN)'; 'labial GRN'],GNG.3145,SER,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['highly_reciprocal_neuron'; 'reciprocal'],right,22,16
720575940626287336,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2615,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,47,39
720575940623183083,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2269,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,80,147
720575940618025199,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2019,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,94,273
720575940619028208,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2913,ACH,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['reciprocal'],left,30,32
720575940621864060,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3300,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['reciprocal'],right,22,11
720575940629416318,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3141,SER,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['reciprocal'],right,24,19
720575940621008895,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2689,ACH,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,30,56
